apartment_id,title,city,area,location,bedrooms,bathrooms,area_sqm,view,price,amenities,description,agent_email
AP011,apartment, New Administrative Capital,"Lumia Lagoons, R8 District","Lumia Lagoons, R8 District, New Administrative Capital",3,2,136,lagoon view,6100000,"landscaping, swimming pools, health club, supermarket, maintenance staff, sauna, jacuzzi, generators, security, surveillance cameras","Ground-floor apartment for sale in Lumia Lagoons, New Administrative Capital. The 136 sqm unit features 3 bedrooms including a master bedroom, 2 bathrooms, a spacious reception area, large kitchen, terrace, and a private 60 sqm garden with a direct lagoon view. Located in a premium compound offering swimming pools, health club, sauna, commercial services, and 24-hour security.",ahmedashraf2452001@gmail.com
AP012,apartment, New Administrative Capital,Armonia,"Armonia, New Administrative Capital",3,3,154,Central Park view,5200000,"commercial area, swimming pools, artificial lakes, landscaping, kids area, gym, underground parking, nursery, mosque, elevators, security, maintenance, surveillance cameras","Spacious 3-bedroom apartment for sale in Armonia Compound, New Administrative Capital. The 154 sqm unit features a master bedroom, 3 bathrooms, a large kitchen, reception area, and terrace with an open view overlooking Central Park. The compound offers premium amenities including pools, lakes, gym, nursery, underground parking, and 24-hour security within a prime location near the Diplomatic Quarter and Green River.",ahmedashraf2452001@gmail.com
AP013,apartment, New Cairo,"Lake View Residence, 5th Settlement","Lake View Residence, 5th Settlement, New Cairo",2,2,136,lake and green landscape view,10700000,"swimming pools, underground parking, 24h security, clubhouse, restaurants, cafes, supermarket, gym, spa","Semi-furnished apartment for sale in Lake View Residence, New Cairo. The 136 sqm unit includes 2 bedrooms, 2 bathrooms, appliances, and modern finishes. Located in a premium compound overlooking green landscapes and artificial lakes with facilities including pools, clubhouse, gym, spa, restaurants, and 24-hour security near the American University in Cairo.",ahmedashraf2452001@gmail.com
AP014,studio, New Cairo,"Taj City, Lake Park Phase, 5th Settlement","Taj City, Lake Park Phase, 5th Settlement, New Cairo",1,1,63,lake and landscape view,3958900,"green spaces, artificial lakes, landscaped gardens, security, parking, gated community","Ready-to-move studio for sale in Taj City â€“ Lake Park Phase, New Cairo. The unit has a built-up area of 63 sqm plus a private roof of 24 sqm located on the 5th floor. Delivered in core & shell condition allowing customized finishing, with views of landscaped gardens and artificial lakes in a well-known residential compound near Suez Road and Cairo International Airport.",ahmedashraf2452001@gmail.com
AP015,apartment, New Cairo,"Park Residence, Taj City, 5th Settlement","Park Residence, Taj City, 5th Settlement, New Cairo",3,3,170,compound view,8400000,"24h security, social club, sports club, international school, parking, restaurants, cafes, international hotel, commercial area","Spacious apartment for sale in Park Residence at Taj City, New Cairo. The unit has a built-up area of 170 sqm with 3 bedrooms and 3 bathrooms and is delivered in core and shell condition, allowing buyers to customize the finishing. Located in a prime location within Taj City near Cairo International Airport and the Ring Road, the compound offers security, clubs, schools, restaurants, and premium residential facilities.",ahmedashraf2452001@gmail.com
TH001,townhouse, New Cairo,"Mountain View iCity, 5th Settlement","Mountain View iCity, 5th Settlement, New Cairo",3,4,205,central park view,12500000,"central park, green spaces, clubhouse, security, maintenance, parking","Townhouse for sale in Mountain View iCity, New Cairo located in Club Park Phase. The property has a built-up area of 205 sqm on a 230 sqm land plot with ground, first floor, and roof levels. It includes 3 bedrooms with a master bedroom, 4 bathrooms, a living area on the roof, and an open view overlooking the central park. Delivered core and shell in a prime north-facing location within a premium gated compound.",ahmedashraf2452001@gmail.com
TH002,townhouse, New Cairo,"Green Square, Mostakbal City","Green Square, Mostakbal City, New Cairo",3,3,240,garden view,9500000,"green spaces, gardens, security, parking, clubhouse","Townhouse for sale in Green Square, Mostakbal City developed by Al Ahly Sabbour. The unit has a built-up area of 240 sqm with a 100 sqm private garden. It includes 3 bedrooms, 3 bathrooms, and a nanny room with its own bathroom. Located in a premium residential community featuring Italian-style architecture, large green landscapes, and integrated services.",ahmedashraf2452001@gmail.com
TH003,townhouse, New Cairo,Saada Compound,"Saada Compound, New Cairo",0,0,199,compound view,18337300,"green spaces, security, parking, gated community","Luxury townhouse for sale in Saada Compound, New Cairo. The property features a built-up area of 199 sqm on a 285 sqm land plot with spacious living areas and modern architectural design. Located in a premium residential community offering privacy, security, and a high-end lifestyle suitable for both families and investment.",ahmedashraf2452001@gmail.com
TH004,townhouse, New Cairo,"Palm Hills Katameya Extension, 5th Settlement","Palm Hills Katameya Extension, 5th Settlement, New Cairo",5,5,280,compound view,21500000,"green spaces, security, parking, gated community","Corner townhouse for sale in Palm Hills Katameya Extension, New Cairo. The property has a built-up area of 280 sqm and includes 5 bedrooms and 5 bathrooms. Delivered in core and shell condition, allowing the buyer to customize the interior finishing. Located in a prestigious gated compound known for its green landscapes and secure residential environment.",ahmedashraf2452001@gmail.com
TH005,townhouse, New Cairo,"Eastshire Compound, 5th Settlement","Eastshire Compound, 5th Settlement, New Cairo",3,4,166,compound view,10499900,"green spaces, security, parking, shopping mall, gated community","Ready-to-move townhouse for sale in Eastshire Compound, New Cairo. The unit has a built-up area of 166 sqm on a 115 sqm land plot and includes 3 bedrooms and 4 bathrooms. Located in a prime location in the Fifth Settlement near major roads and services, offering a quiet residential environment within a secure gated community.",ahmedashraf2452001@gmail.com
TH006,townhouse, New Cairo,"City Gate, 5th Settlement","City Gate, 5th Settlement, New Cairo",3,4,253,golf and green spaces view,16400000,"green spaces, golf views, international schools, retail area, security, parking","Townhouse for sale in City Gate Compound by Qatari Diar located in the Fifth Settlement, New Cairo. The property features a built-up area of 253 sqm with ground, first floor, and penthouse levels. It includes 3 bedrooms, a living room, and 4 bathrooms. Located in a premium gated community offering golf views, green landscapes, schools, retail areas, and modern residential facilities.",ahmedashraf2452001@gmail.com
TH007,townhouse, New Cairo,"Modon Golf Town, 6th Settlement","Modon Golf Town, 6th Settlement, New Cairo",5,4,180,golf course view,10200000,"golf course, private pool, green spaces, security, gated community","Luxury townhouse villa for sale in Modon Golf Town, 6th Settlement. The property consists of three floors (ground, first, and roof) with a private pool and a direct view of a 15-acre golf course. It includes 5 bedrooms, 4 bathrooms, and a spacious reception area within a premium golf community offering privacy and upscale living.",ahmedashraf2452001@gmail.com
TH008,townhouse, New Administrative Capital,Al Maqsad Compound,"Al Maqsad Compound, New Administrative Capital",4,4,392,prime compound view,15717417,"green spaces, security, parking, gated community","Fully finished ready-to-move townhouse for sale in Al Maqsad Compound, New Administrative Capital. The property has a built-up area of 392 sqm on a 230 sqm land plot and includes 4 bedrooms and 4 bathrooms. Located in a premium residential community with green landscapes and modern facilities, offering installment plans up to 6 years.",ahmedashraf2452001@gmail.com
TH009,townhouse, New Cairo,"Azzar 2 Compound, 5th Settlement","Azzar 2 Compound, 5th Settlement, New Cairo",5,5,225,compound view,15000000,"green spaces, security, parking, gated community, nearby clubs","Corner townhouse for sale in Azzar 2 Compound located in the Golden Square area of the Fifth Settlement, New Cairo. The unit has a built-up area of 225 sqm on a 275 sqm land plot and includes 5 bedrooms and 5 bathrooms. Delivered within 3 months in a prime location near the American University in Cairo and major residential compounds.",ahmedashraf2452001@gmail.com
TH010,townhouse, New Cairo,"Garden Residence, Hyde Park, 5th Settlement","Garden Residence, Hyde Park, 5th Settlement, New Cairo",3,3,209,best compound view,14800000,"green spaces, security, parking, clubhouse, commercial areas","Ready-to-move townhouse for sale in Garden Residence at Hyde Park, New Cairo. The property offers 209 sqm built-up area with 3 bedrooms, 3 bathrooms, and a living room. Located in a prime location within one of the largest mixed-use communities in New Cairo, close to the American University in Cairo and major roads.",ahmedashraf2452001@gmail.com
TH011,townhouse, New Cairo,"Mivida, 5th Settlement","Mivida, 5th Settlement, New Cairo",3,4,190,garden view,27000000,"private garden, security, parking, clubhouse, green spaces","Fully finished townhouse for sale in Mivida by Emaar, New Cairo. The property features a built-up area of 190 sqm on a 355 sqm land plot and includes 3 bedrooms including a master bedroom, 4 bathrooms, a storage room, kitchen, and air conditioning units. Located in one of the most prestigious gated communities in New Cairo with modern design and private garden space ideal for family living.",ahmedashraf2452001@gmail.com
TH012,townhouse, New Cairo,"Palm Hills New Cairo, 5th Settlement","Palm Hills New Cairo, 5th Settlement, New Cairo",4,4,260,lagoon view,14500000,"sports club, swimming pools, landscapes, kids areas, 24h security, commercial area, medical services, electronic gates, jogging tracks, cycling tracks","Luxury townhouse for sale in Palm Hills New Cairo located just 10 minutes from the American University in Cairo. The property has a built-up area of 260 sqm with ground floor, garden, first floor, and penthouse levels. It includes 4 bedrooms with two master suites, a nanny room with private bathroom, spacious reception area, terrace with lagoon view, and access to premium compound facilities.",ahmedashraf2452001@gmail.com
TH013,townhouse, New Cairo,"Garden Residence, Hyde Park, 5th Settlement","Garden Residence, Hyde Park, 5th Settlement, New Cairo",4,4,250,garden view,12300000,"green spaces, security, parking, clubhouse, commercial areas","Semi-finished townhouse villa for sale in Garden Residence at Hyde Park, New Cairo. The property features a built-up area of 250 sqm with 4 bedrooms including a master bedroom and 4 bathrooms. The unit offers a spacious layout with a landscaped garden view and immediate delivery within a prestigious gated community on South 90th Street.",ahmedashraf2452001@gmail.com
PH001,penthouse, New Cairo,"Promenade New Cairo, 5th Settlement","Promenade New Cairo, 5th Settlement, New Cairo",4,4,245,open roof view,6500000,"parking garage, security, green spaces, elevators, maintenance","Ready-to-move penthouse for sale in Promenade Wadi Degla Compound, New Cairo. The unit has a built-up area of 245 sqm with an additional 170 sqm private roof. It includes 4 bedrooms, 4 bathrooms, a spacious reception area, and is delivered semi-finished. Located in a well-serviced residential compound offering security, parking, and landscaped surroundings.",ahmedashraf2452001@gmail.com
PH002,penthouse, New Cairo,"Stone Residence, 5th Settlement","Stone Residence, 5th Settlement, New Cairo",4,1,220,compound view,4000000,"24h security, electronic gates, green spaces, swimming pools, health club, gym, kids play area, cafes, restaurants, parking garages","Ready-to-move penthouse for sale in Stone Residence, New Cairo. The unit has an area of 220 sqm with 4 bedrooms and high-quality finishing. Located in a prestigious compound near 90th Street offering premium amenities including pools, gym, landscaped areas, restaurants, and 24-hour security.",ahmedashraf2452001@gmail.com
PH003,penthouse, New Cairo,"Moon Residences, Fifth Square, 5th Settlement","Moon Residences, Fifth Square, 5th Settlement, New Cairo",3,3,175,compound view,10000000,"green spaces, security, parking, clubhouse, commercial areas","Fully finished penthouse for sale in Moon Residences at Fifth Square, New Cairo. The property has a built-up area of 175 sqm and includes 3 bedrooms and 3 bathrooms. Ready to move and located in a premium residential compound offering landscaped areas, security, and modern facilities in the Fifth Settlement.",ahmedashraf2452001@gmail.com
PH004,penthouse, New Cairo,"Mountain View iCity, 5th Settlement","Mountain View iCity, 5th Settlement, New Cairo",4,2,205,compound view,8000000,"green spaces, security, parking, clubhouse, terraces","Ready-to-move penthouse with roof for sale in Mountain View iCity, New Cairo. The unit has a built-up area of 205 sqm and includes 4 bedrooms, 2 bathrooms, reception area, kitchen, and terrace. Located in a prime location within a prestigious compound near the American University in Cairo with installment plans available up to 8 years.",ahmedashraf2452001@gmail.com
PH005,penthouse, New Cairo,"Stone Residence, 5th Settlement","Stone Residence, 5th Settlement, New Cairo",3,3,220,compound view,8000000,"swimming pools, social club, gym, spa, kids areas, jogging tracks, sports courts, retail area, restaurants, cafes, green spaces, artificial lakes, security, parking","Penthouse for sale in Stone Residence, New Cairo. The unit has an area of 220 sqm and includes 3 bedrooms and 3 bathrooms with immediate delivery. Located in a modern residential compound with European-inspired architecture, large green spaces, artificial lakes, and premium amenities including pools, gym, retail area, and 24-hour security.",ahmedashraf2452001@gmail.com
PH006,penthouse, New Cairo,"Mountain View Hyde Park, 5th Settlement","Mountain View Hyde Park, 5th Settlement, New Cairo",3,2,166,landscape view,10500000,"green landscapes, lakes, fountains, security, parking, gated community","Fully finished ready-to-move penthouse for sale in Mountain View Hyde Park, New Cairo. The unit features a built-up area of 166 sqm with an additional 80 sqm roof terrace. It includes 3 bedrooms and 2 bathrooms and enjoys a prime location overlooking landscaped views within a prestigious gated community on 90th Street.",ahmedashraf2452001@gmail.com
DU001,duplex, New Cairo,El Banafseg 12 Villas,"El Banafseg 12 Villas, New Cairo",5,3,300,garden view,8000000,"private garden, terrace, parking, nearby services","Semi-finished duplex for sale in El Banafseg 12 Villas, New Cairo. The property has a built-up area of 300 sqm with a 120 sqm private garden. It includes 5 bedrooms, 3 bathrooms, a spacious reception area, kitchen, and private terrace, offering a comfortable family living space with immediate delivery.",ahmedashraf2452001@gmail.com
DU002,duplex, New Cairo,"Mountain View iCity, Lagoon Park Phase, 5th Settlement","Mountain View iCity, Lagoon Park Phase, 5th Settlement, New Cairo",3,4,235,lagoon view,9600000,"clubhouse, crystal lagoons, commercial areas, jogging tracks, cycling tracks, kids areas, underground parking, 24h security","Duplex I-Villa garden unit for sale in Mountain View iCity, Lagoon Park phase, New Cairo. The property has a built-up area of 235 sqm with a private 70 sqm garden. It includes 3 bedrooms and 4 bathrooms and is delivered core and shell. Located in a premium gated community featuring lagoons, clubhouse, entertainment areas, and extensive green landscapes.",ahmedashraf2452001@gmail.com
DU003,duplex, New Cairo,"Mountain View iCity, MV Park Phase, 5th Settlement","Mountain View iCity, MV Park Phase, 5th Settlement, New Cairo",3,3,235,compound view,10700000,"clubhouse, crystal lagoons, commercial areas, jogging tracks, cycling tracks, kids areas, underground parking, 24h security","I-Villa roof duplex for sale in Mountain View iCity, MV Park phase, New Cairo. The unit offers a built-up area of 235 sqm and includes 3 bedrooms, 3 bathrooms, and a nanny room with a private bathroom. Delivered core and shell within a premium gated community featuring lagoons, clubhouse, green landscapes, and entertainment facilities.",ahmedashraf2452001@gmail.com
DU004,duplex, New Administrative Capital,"DeJoya 4, R8 District","DeJoya 4, R8 District, New Administrative Capital",3,5,282,compound view,7163000,"private pool, green spaces, security, parking, commercial areas","Luxury duplex villa for sale in DeJoya 4 by Taj Misr located in the R8 district of the New Administrative Capital. The unit has a built-up area of 282 sqm and includes 3 bedrooms including a master bedroom, 5 bathrooms, reception and dining areas, and a maid room. The property features a private swimming pool and is located in a premium residential community near the Central Axis and international university.",ahmedashraf2452001@gmail.com
DU005,duplex, New Cairo,"Garden Residence, Hyde Park, 5th Settlement","Garden Residence, Hyde Park, 5th Settlement, New Cairo",3,3,211,lagoon and landscape view,13100000,"green spaces, lagoons, security, parking, clubhouse","Corner garden duplex for sale in Garden Residence at Hyde Park, New Cairo. The unit has a built-up area of 211 sqm with a private 61 sqm garden. It includes 3 bedrooms, 3 bathrooms, a spacious reception area, kitchen, and a nanny room with an ensuite bathroom. Semi-finished and ready to move with a direct lagoon and landscape view in a premium gated community.",ahmedashraf2452001@gmail.com
